ITS2 type profile UID		273750	273769	273610	273515	273581	273584	273516	273510	273588	273674	273598	276524	273479	273869	273746	274798	275687	275688	274887	275686	275695	274521	275934	275692	275694	275696	275014	275821	275689	274832	274834	275693	275690	274969	274331	274463	274337	275798	274837	275478	274083	274355	275908	275691	276215	276338	276127	276343	276048	276188	276046	276337	276085	276339	276235	276236	276237	276283	276372	276250	276380	276403	276282	276203	276183	276064
Clade		A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D
Majority ITS2 sequence		A3	A3	A3	A3/A6b	A3/A6b	A3	A3/A6b	A3	A3	A3	A3	A3	A3	A6e	A6b	C1	C93a	C93a/C66	C1	C93a	C93a/C66	C1/C66	C93a	C93a	C66/C93a	C93a	C1	C66	C93a/C1	C66	C1	C93a	C93a	C1	C1	C1	C1/C1c	C1	C1	C1	C1	C3	C91	C93a	D5/D4u	D5/D9b	D4/D5	D5/D4	D4	D5/D4/D9b	D1	D5	D1	D5/D4	D5	D5	D1/D5	D1	D1	D4	D5	D13a	D1	D1	D1	D1
Associated species		None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
ITS2 profile abundance local		20	20	8	8	5	5	5	4	3	2	2	1	1	1	1	24	18	16	12	11	11	9	9	8	8	8	7	6	4	3	3	3	3	2	2	2	2	2	1	1	1	1	1	1	28	13	11	6	5	5	4	4	4	4	3	2	2	2	1	1	1	1	1	1	1	1
ITS2 profile abundance DB		22	82	15	9	7	7	16	37	7	6	5	7	5	1	5	105	18	16	1134	11	11	22	14	8	18	9	45	45	7	17	103	5	3	6	41	50	88	66	3	7	8	28	19	12	40	25	14	6	19	8	259	4	188	5	10	79	9	204	39	5	17	1	135	26	466	250
ITS2 type profile		A3-A3ab	A3	A3-A3s	A3/A6b-A3g-A6d	A3/A6b-A3g-A6d-A3ai	A3-A3ab-A3am-A3an	A6b/A3g/A3-A6d-A6c	A3-A3s-A3q-A3r	A6b/A3-A3g	A3-A3ck	A3-A6b-A3g-A3s-A6d	A3-A6b	A3-A3g	A6e	A6b/A3g	C1/C1c-C1al-C1b-C42.2	C93a-C93e-C55a	C93a/C66-C93e	C1-C1b-C1c-C42.2-C1bh-C1br-C1cb-C3	C93a-C15gv-C55a	C93a/C66-C116ac	C66/C1-C1c	C93a	C93a-C15gw-C93f	C66/C93a	C93a-C93f	C1/C3-C1c-C1b-C42.2-C1bh-C1br	C66	C1/C93a-C1c	C66-C66a	C1-C1c-C1am-C1ao-C1an-C1b-C3cm	C93a-C93h	C93a-C116ac	C1-C1c-C93a-C3	C1-C1c-C1b-C3-C42.2-C1bh	C1/C1c-C1al-C1b	C1/C1c-C1b-C72k-C42.2	C1	C1-C1c-C1w-C1b	C1/C1w	C1-C1c-C1b	C3/C3gulf	C91	C93a-C15gv	D5/D4u-D4-D9b	D4/D5/D9b-D1bq-D1br	D4/D5-D9b-D1bq-D5n	D5/D4-D9b-D17m-D17j-D5k-D17n	D4/D5-D9b-D1bq-D5o	D5/D4/D9b-D1bq	D1-D4-D4c-D1c-D2	D5-D5s-D5r	D1-D4-D4c-D6-D1c	D5/D4-D9b-D5p-D5o-D5q	D5/D4/D9b	D4/D5/D1-D9b-D17j-D17k-D17m-D17l-D7a-D17n	D1/D4/D5	D1-D4-D4c-D1c-D17d-D1r-D17c-D17e	D1	D4/D5	D5	D13a	D1-D4-D17d-D4c-D1r-D17c-D17e-D17j	D4/D5/D1-D9b	D1/D4/D2-D4c-D1c-D1h	D1-D4-D2-D4c-D6
156651	camiguin_ts_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156652	camiguin_ts_3	0	800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156608	bohol_ts_2	0	0	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
